,English,Vietnamese,Tamil Translation,Spanish,Hindi,Malay,Arabic,Portuguese,Swahili,Russian,French,Filipino,Thai,INDONESIAN,Nepali,Bengali,Chinese (Simplified),Chinese (Traditional),Khmer
,en,vi,ta,es,hi,my,ar,pt,sw,ru,fr,fil,th,in,ne,bn,zh,zh,km
yes,YES,CÓ,ஆம்,SI,हाँ,YA,نعم,Sim,NDIO,ДА,OUI,OO,ใช่,YA,हुन्छ,হ্যা ,是,是,ព្រម
no,NO,KHÔNG,இல்லை,NO,नहीं,TIDAK,كلا,Não,LA,НЕТ,NON,HINDI,ไม่,TIDAK,हुँदैन,না ,否,否,មិនព្រម
<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->
timby_permissions_title,Grant TIMBY Permissions,Cho TIMBY quyền truy cập,TIMBY க்கு அனுமதி வழங்கு,Conceder permisos a TIMBY,टिम्बी को परमिशन दे,Izinkan TIMBY,منحه TIMBY أذن,Conceda autorização ao TIMBY,Kubalia TIMBY,Предоставьте разрешение TIMBY на,Accorder des autorisations à TIMBY.,Bigyans ng Mga Permiso ang TIMBY,อนุมัติคำขอของ TIMBY,Memberikan TIMBY Ijin,TIMBY लाई अनुमति दिनुहोस्,TIMBY কে অনুমোদন প্রদান করুন ,授予 TIMBY 权限,授予 TIMBY 許可權,ផ្តល់សិទ្ធិដល់TIMBY
timby_permissions_justification,"TIMBY needs camera,audio,GPS, storage and  phone permissions","TIMBY cần truy cập vào máy ảnh, âm thanh, GPS, kho lưu trữ và điện thoại","TIMBY க்கு கேமரா, ஆடியோ, ஜிபிஎஸ், சேமிப்பு மற்றும் தொலைபேசி அனுமதிகள் தேவை","TIMBY necesita Cámara,Audio,GPS,Almacenamiento &amp; Permisos de teléfono","टिम्बी को कैमरा, ऑडियो, जी पी एस, और फोन की में प्रवेश करने की परमिशन चाहिए","TIMBY memerlukan keizinan kamera, audio, GPS, storan dan telefon",TIMBY يحتاج كاميرا والصوت، GPS، التخزين، واعدادات الهاتف,"O TIMBY precisa de autorização para aceder à câmara, áudio, GPS, armazenamento e telefone","TIMBY inahitaji kibali kufikia Kamera, Sauti, GPS, Hifadhi, na Simu","TIMBY требуется разрешение на использование камеры, аудио, GPS, памяти и звонки","TIMBY besoins Appareil photo,audio,GPS,stockage &amp; autorisations de téléphone.","Kailangan ng TIMBY ng permiso sa camera, audio, GPS, storage at telepono","TIMBY ต้องการเข้าถึงกล้อง, เสียง, GPS, หน่วยความจำ และโทรศัพท์","TIMBI membutuhkan ijin mengakses kamera, audio, GPS, penyimpanan dan telepon","TIMBYलाई क्यामेरा, अडियो, जिपिएस, स्टोरेज र फोन अनुमतिहरु आवश्यक हुन्छ","TIMBY এর জন্য প্রয়োজন হবে ক্যামেরা, অডিও, জিপিএস, স্টোরেজ এবং আপনার ফোনের অনুমোদন  ",TIMBY 需要摄像头、音频、GPS、存储及电话权限,TIMBY 需要相機、音訊、GPS、存儲及電話許可權,TIMBYត្រូវការការអនុញ្ញាតប្រើកាមេរ៉ា សម្លេង ជីភីអេស អង្គផ្ទុកទិន្នន័យ និងទូរស័ព្ទ
<!-- Login page -->,<!-- Login page -->,<!-- Login page -->,<!-- Login page -->,<!-- Login page -->,<!-- Login page -->,<!-- Login page -->,<!-- Login page -->,<!-- Login page -->,<!-- Login page -->,<!-- Login page -->,<!-- Login page -->,<!-- Login page -->,<!-- Login page -->,<!-- Login page -->,<!-- Login page -->,<!-- Login page -->,<!-- Login page -->,<!-- Login page -->,<!-- Login page -->
login__username,"username
",Tên đăng nhập,யூசர்நேம்,usuario,उपयोगकर्ता का नाम,nama pengguna,اسم المستخدم,Nome de utilizador,Jina la mtumiaji,имя пользователя,identifiant,username,"ชื่อผู้ใช้งาน
",Username,युजरनेम,ইউজারনেম ,用户名,用戶名稱,"ឈ្មោះ​អ្នកប្រើប្រាស់
"
login__password,password,Mật khẩu,பாஸ்வர்ட்,contraseña,पासवर्ड,kata laluan,كلمة السر,Palavra-passe,Nenosiri,пароль,mot de passe,password,รหัสผ่าน,Password,पासवर्ड,পাসওয়ার্ড ,密码,密碼,ពាក្យសម្ងាត់
login,Login,Đăng nhập,உள்நுழைக,Ingreso,लॉग इन,Log masuk,الدخول,Entrar,Kuingia,логин,Se Connecter,Mag-login,เข้าสู่ระบบ,Login,लगिन,লগ ইন ,登录,登入,ចូល
